year,question_number,subject,question_text,option_a,option_b,option_c,option_d,answer
2016,14,Economy,"Recently, which one of the following currencies has been proposed to be added to the basket of IMF's SDR?",Rouble,Rand,Indian Rupee,Renminbi,D
2016,15,Economy,"With reference to the International Monetary and Financial Committee (IMFC), consider the following statements: 1. IMFC discusses matters of concern affecting the global economy, and advises the International Monetary Fund (IMF) on the direction of its work. 2. The World Bank participates as observer in IMFC's meetings.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C
2016,16,Current Affairs,'Rashtriya Garima Abhiyaan' is a national campaign to:,rehabilitate the homeless and destitute persons and provide them with suitable sources of livelihood,release the sex workers from their practice and provide them with alternative sources of livelihood,eradicate the practice of manual scavenging and rehabilitate the manual scavengers,release the bonded labourers from their bondage and rehabilitate them,C
2016,17,Medieval History,"With reference to the cultural history of medieval India, consider the following statements: 1. Siddhas (Sittars) of Tamil region were monotheistic and condemned idolatry. 2. Lingayats of Kannada region questioned the theory of rebirth and rejected the caste hierarchy.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C
2016,18,Economy,"Which of the following best describes the term 'import cover', sometimes seen in the news?",It is the ratio of value of imports to the Gross Domestic Product of a country,It is the total value of imports of a country in a year,It is the ratio between the value of exports and that of imports between two countries,It is the number of months of imports that could be paid for by a country's international reserves,D
2016,19,Current Affairs,"Consider the following pairs: 1. Kurd: Bangladesh, 2. Madhesi: Nepal, 3. Rohingya: Myanmar. Which of the pairs given above is/are correctly matched?",1 and 2,2 only,2 and 3,3 only,C
2016,20,Current Affairs,"With reference to 'Organization for the Prohibition of Chemical Weapons (OPCW)', consider the following statements: 1. It is an organization of European Union in working relation with NATO and WHO. 2. It monitors chemical industry to prevent new weapons from emerging. 3. It provides assistance and protection to States (Parties) against chemical weapons threats.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",B
2016,21,Current Affairs,"With reference to 'Pradhan Mantri Fasal Bima Yojana', consider the following statements: 1. Under this scheme, farmers will have to pay a uniform premium of two percent for any crop they cultivate in any season of the year. 2. This scheme covers post-harvest losses arising out of cyclones and unseasonal rains.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B
2016,22,Environment & Ecology,In which of the following regions of India are you most likely to come across the 'Great Indian Hornbill' in its natural habitat?,Sand deserts of northwest India,Higher Himalayas of Jammu and Kashmir,Salt marshes of western Gujarat,Western Ghats,D
2016,23,Environment & Ecology,Which of the following are the key features of 'National Ganga River Basin Authority (NGRBA)? 1. River basin is the unit of planning and management. 2. It spearheads the river conservation efforts at the national level. 3. One of the Chief Ministers of the States through which the Ganga flows becomes the Chairman of NGRBA on rotation basis.,1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A
2016,24,Science & Tech,Why does the Government of India promote the use of 'Neem-coated Urea' in agriculture?,Release of Neem oil in the soil increases nitrogen fixation by the soil microorganisms,Neem coating slows down the rate of dissolution of urea in the soil,"Nitrous oxide, which is a greenhouse gas, is not at all released into atmosphere by crop fields",It is a combination of a weedicide and a fertilizer for particular crops,B
2016,25,Polity,Consider the following statements: 1. The Chief Secretary in a State is appointed by the Governor of that State. 2. The Chief Secretary in a State has a fixed tenure.,1 only,2 only,Both 1 and 2,Neither 1 nor 2,D
2016,26,Economy,"With reference to 'Stand Up India Scheme', which of the following statements is/are correct? 1. Its purpose is to promote entrepreneurship among SC/ST and women entrepreneurs. 2. It provides for refinance through SIDBI.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C
2016,27,Environment & Ecology,"The FAO accords the status of 'Globally Important Agricultural Heritage System (GIAHS)' to traditional agricultural systems. What is the overall goal of this initiative? 1. To provide modern technology, training in modern farming methods and financial support to local communities... 2. To identify and safeguard eco-friendly traditional farm practices... 3. To provide Geographical Indication status to all the varieties of agricultural produce...",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",B
2016,28,Geography,Which of the following is/are tributary/tributaries of Brahmaputra? 1. Dibang 2. Kameng 3. Lohit,1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D
2016,29,Economy,The term 'Core Banking Solutions' is sometimes seen in the news. Which of the following statements best describes this term? 1. Networking of branches enabling account operation from any branch. 2. Effort to increase RBI's control. 3. Procedure for takeovers of banks with NPAs.,1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A
2016,30,Environment & Ecology,"Consider the following pairs: 1. Annex-I Countries: Cartagena Protocol, 2. Certified Emissions Reductions: Nagoya Protocol, 3. Clean Development Mechanism: Kyoto Protocol. Which of the pairs given above is/arc correctly matched?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",C
2016,31,Science & Tech,"In the context of the developments in Bioinformatics, the term 'transcriptome', sometimes seen in the news, refers to:",a range of enzymes used in genome editing,the full range of mRNA molecules expressed by an organism,the description of the mechanism of gene expression,a mechanism of genetic mutations taking place in cells,B
2016,32,Current Affairs,Mission Indradhanush' launched by the Government of India pertains to:,immunization of children and pregnant women,construction of smart cities across the country,India's own search for the Earth-like planets in outer space,New Educational Policy,A
2016,33,Environment & Ecology,Which of the following best describes/describe the aim of 'Green India Mission' of the Government of India? 1. Incorporating green accounting. 2. Second green revolution. 3. Restoring and enhancing forest cover and responding to climate change.,1 only,2 and 3 only,3 only,"1, 2 and 3",C
2016,34,Science & Tech,"With reference to pre-packaged items in India, it is mandatory to put which information on the main label as per FSSAI Regulations 2011? 1. List of ingredients 2. Nutrition information 3. Medical recommendations regarding allergies 4. Veg/Non-veg mark","1, 2 and 3","2, 3 and 4","1, 2 and 4",1 and 4 only,C
2016,35,Science & Tech,"Project Loon', sometimes seen in the news, is related to:",waste management technology,wireless communication technology,solar power production technology,water conservation technology,B
2016,36,Science & Tech,'Net metering' is sometimes seen in the news in the context of promoting the:,production and use of solar energy by the households/consumers,use of piped natural gas in the kitchens of households,installation of CNG kits in motor-cars,installation of water meters in urban households,A
2016,37,Economy,Which of the following has declared the 'Ease of Doing Business Index' ranking?,OECD,World Economic Forum,World Bank,World Trade Organization (WTO),C
2016,38,Medieval History,Banjaras during the medieval period of Indian history were generally:,agriculturists,warriors,weavers,traders,D
2016,39,Ancient History,Who of the following had first deciphered the edicts of Emperor Ashoka?,Georg BÃ¼hler,James Prinsep,Max MÃ¼ller,William Jones,B
2016,40,Polity,"With reference to the 'Gram Nyayalaya Act', which of the following statements is/are correct? 1. Gram Nyayalayas can hear only civil cases and not criminal cases. 2. The Act allows local social activists as mediators/reconciliators.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B
2016,41,Current Affairs,"With reference to the 'Trans-Pacific Partnership', consider the following statements: 1. It is an agreement among all the Pacific Rim countries except China and Russia. 2. It is a strategic alliance for the purpose of maritime security only.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D
2016,42,Current Affairs,Consider the following statements: The India-Africa Summit: 1. held in 2015 was the third such Summit. 2. was actually initiated by Jawaharlal Nehru in 1951.,1 only,2 only,Both 1 and 2,Neither 1 nor 2,A
2016,43,Economy,What is/are the purpose/purposes of the 'Marginal Cost of Funds based Lending Rate (MCLR)' announced by RBI? 1. Improve transparency in interest rate methodology. 2. Ensure availability of bank credit at fair interest rates.,1 only,2 only,Both 1 and 2,Neither 1 nor 2,C
2016,44,Environment & Ecology,"What is/are unique about 'Kharai camel', a breed found in India? 1. It is capable of swimming up to three kilometres in seawater. 2. It survives by grazing on mangroves. 3. It lives in the wild and cannot be domesticated.",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",A
2016,45,Geography,"Recently, our scientists have discovered a new and distinct species of banana plant (11m height, orange pulp). In which part of India has it been discovered?",Andaman Islands,Anaimalai Forests,Maikala Hills,Tropical rain forests of northeast,A
2016,46,Science & Tech,"Which one of the following is the best description of 'INS Astradharini', that was in the news recently?",Amphibious warfare ship,Nuclear-powered submarine,Torpedo launch and recovery vessel,Nuclear-powered aircraft carrier,C
2016,47,Science & Tech,"What is 'Greased Lightning-10 (GL-10)', recently in the news?",Electric plane tested by NASA,Solar-powered two-seater aircraft designed by Japan,Space observatory launched by China,Reusable rocket designed by ISRO,A
2016,48,Economy,"With reference to 'Initiative for Nutritional Security through Intensive Millets Promotion', which statements are correct? 1. Aim to demonstrate improved technology and value addition. 2. Small/tribal farmers have large stake. 3. Objective to shift commercial crops to millets.",1 only,2 and 3 only,1 and 2 only,"1, 2 and 3",C
2016,49,Modern History,The 'Swadeshi' and 'Boycott' were adopted as methods of struggle for the first time during the:,agitation against the Partition of Bengal,Home Rule Movement,Non-Cooperation Movement,visit of the Simon Commission to India,A
2016,50,Art and Culture,"With reference to the religious history of India, consider: 1. The concept of Bodhisattva is central to Hinayana. 2. Bodhisattva is a compassionate one on way to enlightenment. 3. Bodhisattva delays salvation to help others.",1 only,2 and 3 only,2 only,"1, 2 and 3",B
2016,51,Current Affairs,"'Doctors Without Borders (Medecins Sans Frontieres)', often in the news, is:",a division of World Health Organization,a non-governmental international organization,an inter-governmental agency sponsored by European Union,a specialized agency of the United Nations,B
2016,52,Environment & Ecology,"With reference to 'The Economics of Ecosystems and Biodiversity (TEEB)', which statements are correct? 1. Hosted by UNEP, IMF and WEF. 2. Focuses on economic benefits of biodiversity. 3. Helps decision-makers recognize value of ecosystems.",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",C
2016,53,Geography,"With reference to 'Red Sanders', sometimes seen in the news, consider: 1. It is a tree species found in a part of South India. 2. It is one of the most important trees in the tropical rain forest areas of South India.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A
2016,54,Environment & Ecology,Proper design and effective implementation of UN-REDD+ Programme can significantly contribute to: 1. protection of biodiversity 2. resilience of forest ecosystems 3. poverty reduction,1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",D
2016,55,Environment & Ecology,What is 'Greenhouse Gas Protocol'?,International accounting tool for govt/business leaders to manage GHG emissions,UN initiative to offer financial incentives to developing countries,Inter-governmental agreement to reduce emissions by 2022,Multilateral REDD+ initiative hosted by the World Bank,A
2016,56,Economy,"With reference to 'Financial Stability and Development Council', consider: 1. Organ of NITI Aayog. 2. Headed by Union Finance Minister. 3. Monitors macroprudential supervision of economy.",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",C
2016,57,Environment & Ecology,"With reference to 'Agenda 21', sometimes seen in the news, consider: 1. It is a global action plan for sustainable development. 2. It originated in the World Summit in Johannesburg 2002.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A
2016,58,Modern History,Satya Shodhak Samaj organized:,a movement for upliftment of tribals in Bihar,a temple-entry movement in Gujarat,an anti-caste movement in Maharashtra,a peasant movement in Punjab,C
2016,59,Science & Tech,Which of the following statements is/are correct? Viruses can infect: 1. bacteria 2. fungi 3. plants,1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",D
2016,60,Economy,The term 'Base Erosion and Profit Shifting' is sometimes seen in the news in the context of:,mining operation by multinational companies in backward areas,curbing of the tax evasion by multinational companies,exploitation of genetic resources by multinational companies,lack of environmental costs in planning developmental projects,B
2016,61,Economy,"Recently, India's first 'National Investment and Manufacturing Zone' was proposed to be set up in:",Andhra Pradesh,Gujarat,Maharashtra,Uttar Pradesh,A
2016,62,Polity,What is/are the purpose/purposes of 'District Mineral Foundations' in India? 1. Promoting exploration in mineral-rich districts. 2. Protecting interests of persons affected by mining. 3. Authorizing State Govts to issue licenses.,1 and 2 only,2 only,1 and 3 only,"1, 2 and 3",B
2016,63,Polity,"'SWAYAM', an initiative of the Government of India, aims at:",promoting the Self Help Groups in rural areas,providing financial and technical assistance to start-ups,promoting the education and health of adolescent girls,providing affordable and quality education to the citizens for free,D
2016,64,Modern History,The Montague-Chelmsford Proposals were related to:,social reforms,educational reforms,reforms in police administration,constitutional reforms,D
2016,65,Art and Culture,What is/are common to Ajanta and Mahabalipuram? 1. Both built in same period. 2. Same religious denomination. 3. Both have rock-cut monuments.,1 and 2 only,3 only,1 and 3 only,None of the statements,B
2016,66,Science & Tech,"With reference to 'Bitcoins', which statements are correct? 1. Tracked by Central Banks. 2. Anyone with an address can send/receive. 3. Online payments can be sent anonymously.",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",B
2016,67,Economy,Consider the following statements: 1. New Development Bank has been set up by APEC. 2. The headquarters of New Development Bank is in Shanghai.,1 only,2 only,Both 1 and 2,Neither 1 nor 2,B
2016,68,Environment & Ecology,'Gadgil Committee Report' and 'Kasturirangan Committee Report' are related to:,constitutional reforms,Ganga Action Plan,linking of rivers,protection of Western Ghats,D
2016,69,Modern History,Keshab Chandra Sen is associated with the establishment of which of the following? 1. Calcutta Unitarian Committee 2. Tabernacle of New Dispensation 3. Indian Reform Association,1 and 3 only,2 and 3 only,3 only,"1, 2 and 3",B
2016,70,Current Affairs,Which of the following is not a member of 'Gulf Cooperation Council'?,Iran,Saudi Arabia,Oman,Kuwait,A
2016,71,Economy,What is/are the purpose/purposes of 'Sovereign Gold Bond Scheme' and 'Gold Monetization Scheme'? 1. Bring idle gold into the economy. 2. Promote FDI in gold sector. 3. Reduce reliance on gold imports.,1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C
2016,72,Current Affairs,'Belt and Road Initiative' is sometimes mentioned in the news in the context of the affairs of:,African Union,Brazil,European Union,China,D
2016,73,Economy,Pradhan Mantri MUDRA Yojana is aimed at:,bringing the small entrepreneurs into formal financial system,providing loans to poor farmers for particular crops,providing pensions to old and destitute persons,funding voluntary organizations for skill development,A
2016,74,Geography,In which of the following regions of India are shale gas resources found? 1. Cambay Basin 2. Cauvery Basin 3. Krishna-Godavari Basin,1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",D
2016,75,Economy,'Global Financial Stability Report' is prepared by the:,European Central Bank,International Monetary Fund,International Bank for Reconstruction and Development,OECD,B
2016,76,Economy,"Regarding 'Atal Pension Yojana', which statements are correct? 1. Guaranteed pension for unorganized sector. 2. Only one member per family. 3. Same pension for spouse after subscriber's death.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C
2016,77,Economy,The term 'Regional Comprehensive Economic Partnership' often appears in context of:,G20,ASEAN,SCO,SAARC,B
2016,78,Science & Tech,On which of the following can you find the Bureau of Energy Efficiency Star Label? 1. Ceiling fans 2. Electric geysers 3. Tubular fluorescent lamps,1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",D
2016,79,Science & Tech,"India is a member of 'ITER'. If this experiment succeeds, what is the immediate advantage for India?",Thorium use in place of uranium,Satellite navigation role,Improve efficiency of fission reactors,Build fusion reactors for power generation,D
2016,80,Ancient History,"Consider the pairs: 1. Eripatti: Land for village tank maintenance, 2. Taniyurs: Villages donated to Brahmins, 3. Ghatikas: Colleges attached to temples. Which are correct?",1 and 2,3 only,2 and 3,1 and 3,D
2016,81,Environment & Ecology,Consider the following statements: 1. The International Solar Alliance was launched at the UN Climate Change Conference in 2015. 2. The Alliance includes all member countries of the UN.,1 only,2 only,Both 1 and 2,Neither 1 nor 2,A
2016,82,Economy,"'European Stability Mechanism', sometimes seen in the news, is an:",agency to deal with Middle East refugees,agency of EU that provides financial assistance to eurozone countries,agency to deal with trade agreements,agency to deal with member conflicts,B
2016,83,Environment & Ecology,Which of the following is/are the advantage/advantages of practising drip irrigation? 1. Reduction in weed 2. Reduction in soil salinity 3. Reduction in soil erosion,1 and 2 only,3 only,1 and 3 only,None of the above,C
2016,84,Science & Tech,"Regarding 'DigiLocker', which statements are correct? 1. System offered under Digital India Programme. 2. Allows access to e-documents regardless of location.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C
2016,85,Geography,"Recently, linking of which of the following rivers was undertaken?",Cauvery and Tungabhadra,Godavari and Krishna,Mahanadi and Sone,Narmada and Tapti,B
2016,86,Environment & Ecology,Which atmospheric gases are considered in calculating the Air Quality Index? 1. CO2 2. CO 3. NO2 4. SO2 5. Methane,"1, 2 and 3 only","2, 3 and 4 only","1, 4 and 5 only","1, 2, 3, 4 and 5",B
2016,87,Science & Tech,"With reference to 'Astrosat', which statements are correct? 1. India is 3rd country after USA/Russia to launch one. 2. It is a 2000kg satellite at 1650km orbit.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D
2016,88,Medieval History,"In medieval India, the term 'Araghatta' refers to:",bonded labour,land grants to military officers,waterwheel used in irrigation,wasteland converted to cultivated land,C
2016,89,Ancient History,"In cultural history, the memorizing of chronicles and dynastic histories was the profession of:",Shramana,Parivraajaka,Agrahaarika,Maagadha,D
2016,90,Environment & Ecology,"Recently, which State has declared a particular butterfly as 'State Butterfly'?",Arunachal Pradesh,Himachal Pradesh,Karnataka,Maharashtra,D
2016,91,Science & Tech,Consider statements on Mangalyaan: 1. Also called Mars Orbiter Mission. 2. Made India 2nd country to orbit Mars after USA. 3. Success in first attempt.,1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C
2016,92,Modern History,What was the main reason for the split in the Indian National Congress at Surat in 1907?,Communalism introduced by Lord Minto,Extremists' lack of faith in Moderates' capacity to negotiate,Foundation of Muslim League,Aurobindo Ghosh's inability to be President,B
2016,93,Modern History,The plan of Sir Stafford Cripps envisaged that after the Second World War:,India should be granted complete independence,India should be partitioned,India should be a republic joining the Commonwealth,India should be given Dominion status,D
2016,94,Art and Culture,"Consider pairs: 1. Bodhgaya: Baghelkhand, 2. Khajuraho: Bundelkhand, 3. Shirdi: Vidarbha, 4. Nasik: Malwa, 5. Tirupati: Rayalaseema. Which are correct?","1, 2 and 4","2, 3, 4 and 5",2 and 5 only,"1, 3, 4 and 5",C
2016,95,Polity,The Parliament can legislate on the State List in national interest if a resolution is passed by:,Lok Sabha by simple majority,Lok Sabha by two-thirds majority,Rajya Sabha by simple majority,Rajya Sabha by not less than two-thirds of members present and voting,D
2016,96,Geography,"Recently, which State explored constructing an artificial inland port connected by a long channel?",Andhra Pradesh,Chhattisgarh,Karnataka,Rajasthan,D
2016,97,Environment & Ecology,"With reference to the Paris Agreement (UNFCCC 2015): 1. Signed by all UN members, effective 2017. 2. Aim to limit temp rise to 2C or 1.5C. 3. Developed countries commit $1000 billion/year.",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",B
2016,98,Environment & Ecology,Consider statements: 1. SDGs first proposed in 1972 by Club of Rome. 2. SDGs to be achieved by 2030.,1 only,2 only,Both 1 and 2,Neither 1 nor 2,B
2016,99,Science & Tech,The movie 'The Man Who Knew Infinity' is based on the biography of:,S. Ramanujan,S. Chandrasekhar,S. N. Bose,C. V. Raman,A
2016,100,Polity,Consider statements: 1. Min age for Panchayat member is 25 years. 2. Reconstituted Panchayat after premature dissolution continues only for remainder period.,1 only,2 only,Both 1 and 2,Neither 1 nor 2,B
2017,1,Polity,"With reference to the Parliament of India, consider the following statements: 1. A private member's bill is a bill presented by a Member of Parliament who is not elected but only nominated by the President of India. 2. Recently, a private member's bill has been passed in the Parliament of India for the first time in its history. Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D
2017,2,Ancient History,"With reference to the difference between the culture of Rigvedic Aryans and Indus Valley people, which of the following statements is/are correct? 1. Rigvedic Aryans used the coat of mail and helmet in warfare whereas the people of Indus Valley Civilization did not leave any evidence of using them. 2. Rigvedic Aryans knew gold, silver and copper whereas Indus Valley people knew only copper and iron. 3. Rigvedic Aryans had domesticated the horse whereas there is no evidence of Indus Valley people having been aware of this animal. Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C
2017,3,Current Affairs,'Recognition of Prior Learning Scheme' is sometimes mentioned in the news with reference to,Certifying the skills acquired by construction workers through traditional channels.,Enrolling the persons in Universities for distance learning programmes.,Reserving some skilled jobs to rural and urban poor in some public sector undertakings.,Certifying the skills acquired by trainees under the National Skill Development Programme.,A
2017,4,Environment & Ecology,"From the ecological point of view, which one of the following assumes importance in being a good link between the Eastern Ghats and the Western Ghats?",Sathyamangalam Tiger Reserve,Nallamala Forest,Nagarhole National Park,Seshachalam Biosphere Reserve,A
2017,5,Polity,One of the implications of equality in society is the absence of,Privileges,Restraints,Competition,Ideology,A
2017,6,Environment & Ecology,Consider the following statements in respect of Trade Related Analysis of Fauna and Flora in Commerce (TRAFFIC): 1. TRAFFIC is a bureau under United Nations Environment Programme (UNEP). 2. The mission of TRAFFIC is to ensure that trade in wild plants and animals is not a threat to the conservation of nature. Which of the above statements is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,B
2017,7,Polity,Which principle among the following was added to the Directive Principles of State Policy by the 42nd Amendment to the Constitution?,Equal pay for equal work for both men and women,Participation of workers in the management of industries,"Right to work, education and public assistance",Securing living wage and human conditions of work to workers,B
2017,8,Polity,Which one of the following statements is correct?,Rights are claims of the State against the citizens.,Rights are privileges which are incorporated in the Constitution of a State.,Rights are claims of the citizens against the State.,Rights are privileges of a few citizens against the many.,C
2017,9,Current Affairs,Which of the following gives 'Global Gender Gap Index' ranking to the countries of the world?,World Economic Forum,UN Human Rights Council,UN Women,World Health Organization,A
2017,10,Current Affairs,Which of the following statements is/are correct regarding Smart India Hackathon 2017? 1. It is a centrally sponsored scheme for developing every city of our country into Smart Cities in a decade. 2. It is an initiative to identify new digital technology innovations for solving the many problems faced by our country. 3. It is a programme aimed at making all the financial transactions in our country completely digital in a decade. Select the correct answer using the code given below:,1 and 3 only,2 only,3 only,2 and 3 only,B
2017,11,Economy,Which of the following statements is/are correct regarding the Monetary Policy Committee (MPC)? 1. It decides the RBI's benchmark interest rates. 2. It is a 12-member body including the Governor of RBI and is reconstituted every year. 3. It functions under the chairmanship of the Union Finance Minister. Select the correct answer using the code given below:,1 only,1 and 2 only,3 only,2 and 3 only,A
2017,12,Art and Culture,"With reference to Manipuri Sankirtana, consider the following statements: 1. It is a song and dance performance. 2. Cymbals are the only musical instruments used in the performance. 3. It is performed to narrate the life and deeds of Lord Krishna. Which of the statements given above is/are correct?","1, 2 and 3",1 and 3 only,2 and 3 only,1 only,B
2017,13,Modern History,Who among the following was/were associated with the introduction of Ryotwari Settlement in India during the British rule? 1. Lord Cornwallis 2. Alexander Read 3. Thomas Munro. Select the correct answer using the code given below:,1 only,1 and 3 only,2 and 3 only,"1, 2 and 3",C
2017,14,Environment & Ecology,"In the context of solving pollution problems, what is/are the advantage/advantages of bioremediation technique? 1. It is a technique for cleaning up pollution by enhancing the same biodegradation process that occurs in nature. 2. Any contaminant with heavy metals such as cadmium and lead can be readily and completely treated by bioremediation using microorganisms. 3. Genetic engineering can be used to create microorganisms specifically designed for bioremediation. Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C
2017,15,Modern History,The Trade Disputes Act of 1929 provided for,the participation of workers in the management of industries.,arbitrary powers to the management to quell industrial disputes.,an intervention by the British Court in the event of a trade dispute.,a system of tribunals and a ban on strikes.,D
2017,16,Polity,Local self-government can be best explained as an exercise in,Federalism,Democratic decentralisation,Administrative delegation,Direct democracy,B
2017,17,Polity,"Consider the following statements: With reference to the Constitution of India, the Directive Principles of State Policy constitute limitations upon 1. legislative function. 2. executive function. Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D
2017,18,Current Affairs,The term 'Digital Single Market Strategy' seen in the news refers to,ASEAN,BRICS,EU,G20,C
2017,19,Geography,"At one of the places in India, if you stand on the seashore and watch the sea, you will find that the sea water recedes from the shore line a few kilometres and comes back to the shore, twice a day, and you can actually walk on the sea floor when the water recedes. This unique phenomenon is seen at",Bhavnagar,Bheemunipatnam,Chandipur,Nagapattinam,C
2017,20,Polity,"With reference to the 'Prohibition of Benami Property Transactions Act, 1988 (PBPT Act)', consider the following statements: 1. A property transaction is not treated as a benami transaction if the owner of the property is not aware of the transaction. 2. Properties held benami are liable for confiscation by the Government. 3. The Act provides for three authorities for investigations but does not provide for any appellate mechanism. Which of the statements given above is/are correct?",1 only,2 only,1 and 3 only,2 and 3 only,B
2017,21,Environment & Ecology,"Due to some reasons, if there is a huge fall in the population of species of butterflies, what could be its likely consequence/consequences? 1. Pollination of some plants could be adversely affected. 2. There could be a drastic increase in the fungal infections of some cultivated plants. 3. It could lead to a fall in the population of some species of wasps, spiders and birds. Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C
2017,22,Science & Tech,"It is possible to produce algae based biofuels, but what is/are the likely limitation(s) of developing countries in promoting this industry? 1. Production of algae based biofuels is possible in seas only and not on continents. 2. Setting up and engineering the algae based biofuel production requires high level of expertise/technology until the construction is completed. 3. Economically viable production necessitates the setting up of large scale facilities which may raise ecological and social concerns. Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",B
2017,23,Current Affairs,"Which of the following are the objectives of 'National Nutrition Mission'? 1. To create awareness relating to malnutrition among pregnant women and lactating mothers. 2. To reduce the incidence of anaemia among young children, adolescent girls and women. 3. To promote the consumption of millets, coarse cereals and unpolished rice. 4. To promote the consumption of poultry eggs. Select the correct answer using the code given below:",1 and 2 only,"1, 2 and 3 only","1, 2 and 4 only",3 and 4 only,A
2017,24,Modern History,"Consider the following statements: 1. The Factories Act, 1881 was passed with a view to fix the wages of industrial workers and to allow the workers to form trade unions. 2. N.M. Lokhande was a pioneer in organizing the labour movement in British India. Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B
2017,25,Environment & Ecology,"In the context of mitigating the impending global warming due to anthropogenic emissions of carbon dioxide, which of the following can be the potential sites for carbon sequestration? 1. Abandoned and uneconomic coal seams 2. Depleted oil and gas reservoirs 3. Subterranean deep saline formations Select the correct answer using the code given below:",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",D
2017,26,Modern History,The object of the Butler Committee of 1927 was to,Define the jurisdiction of the Central and Provincial Governments.,Define the powers of the Secretary of State for India.,Impose censorship on national press.,Improve the relationship between the Government of India and the Indian States.,D
2017,27,Economy,The term 'Domestic Content Requirement' is sometimes seen in the news with reference to,Developing solar power production in our country,Granting licences to foreign T.V. channels in our country,Exporting our food products to other countries,Permitting foreign educational institutions to set up their campuses in our country,A
2017,28,Current Affairs,Consider the following statements: 1. The Nuclear Security Summits are periodically held under the aegis of the United Nations. 2. The International Panel on Fissile Materials is an organ of International Atomic Energy Agency. Which of the statements given above is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,D
2017,29,Economy,Who among the following can join the National Pension System (NPS)?,Resident Indian citizens only,Persons of age from 21 to 55 only,All State Government employees joining the services after the date of notification by the respective State Governments,"All Central Government employees including those of Armed Forces joining the services on or after 1st April, 2004",C
2017,30,Geography,"With reference to river Teesta, consider the following statements: 1. The source of river Teesta is the same as that of Brahmaputra but it flows through Sikkim. 2. River Rangeet originates in Sikkim and it is a tributary of river Teesta. 3. River Teesta flows into Bay of Bengal on the border of India and Bangladesh. Which of the statements given above is/are correct?",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",B
2017,31,Science & Tech,"Consider the following statements: 1. In tropical regions, Zika virus disease is transmitted by the same mosquito that transmits dengue. 2. Sexual transmission of Zika virus disease is possible. Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C
2017,32,Economy,Consider the following statements: 1. The Standard Mark of Bureau of Indian Standards (BIS) is mandatory for automotive tyres and tubes. 2. AGMARK is a quality Certification Mark issued by the Food and Agriculture Organisation (FAO). Which of the statements given above is/are correct?,1 only,2 only,Both 1 and 2,Neither 1 nor 2,A
2017,33,Economy,"What is/are the advantage/advantages of implementing the 'National Agriculture Market' scheme? 1. It is a pan-India electronic trading portal for agricultural commodities. 2. It provides the farmers access to nationwide market, with prices commensurate with the quality of their produce. Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C
